dataset,model,model_family,tuned,split,fold_id,test_cell,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,CNN1D,1D-CNN,False,validation,test_CS2_36,CS2_36,0.02821694609764314,0.01737796858659517,3.420035852577104,0.9774853255358587,0.5567856249399483,0.018097554414492588,55256.08472265161,12065.0,0.046024322509765625
CALCE,CNN1D,1D-CNN,False,test,test_CS2_36,CS2_36,0.03390725474857316,0.02145238481537611,5.052390668493946,0.9791588261554386,0.5567856249399483,0.018097554414492588,55256.08472265161,12065.0,0.046024322509765625
CALCE,XGBoost,XGBoost,False,validation,test_CS2_36,CS2_36,0.015679613550710497,0.008147102941750356,1.649877965569524,0.9930478943393469,0.020503625040873885,0.00036893053101780623,2710537.3936963095,0.0,0.0
CALCE,XGBoost,XGBoost,False,test,test_CS2_36,CS2_36,0.029428259386646425,0.013265209365276339,4.584703827296606,0.9843012140287906,0.020503625040873885,0.00036893053101780623,2710537.3936963095,0.0,0.0
CALCE,LightGBM,LightGBM,False,validation,test_CS2_36,CS2_36,0.015567638619164218,0.007900307744003866,1.6198994413638617,0.9931468357943619,0.04425941687077284,0.0025032606967927322,399478.9680840018,0.0,0.0
CALCE,LightGBM,LightGBM,False,test,test_CS2_36,CS2_36,0.03076910039960647,0.013891574656410697,4.749569812629401,0.9828380546105824,0.04425941687077284,0.0025032606967927322,399478.9680840018,0.0,0.0
CALCE,Ours,ARCF-TCN,True,validation,test_CS2_36,CS2_36,0.009746828929657649,0.0047012403039719385,0.7613130240338267,0.9973135897107521,3.929418083978817,0.10357889569485965,9654.476361149575,14737.0,0.056217193603515625
CALCE,Ours,ARCF-TCN,True,test,test_CS2_36,CS2_36,0.01119795175764115,0.005352796934460163,0.9605305643906431,0.9977269232377086,3.929418083978817,0.10357889569485965,9654.476361149575,14737.0,0.056217193603515625
CALCE,Trend_Prior_l1,baseline,False,validation,test_CS2_37,CS2_37,0.012147267620552057,0.004427688349272109,0.6503418348514721,0.995673068767685,1.291045919060707e-06,2.6149609005351444e-06,382414895.6855733,0.0,0.0
CALCE,Trend_Prior_l1,baseline,False,test,test_CS2_37,CS2_37,0.012152532178777887,0.004628077794210539,0.7351143919614795,0.9958238199506942,1.291045919060707e-06,2.6149609005351444e-06,382414895.6855733,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,validation,test_CS2_37,CS2_37,0.01281787186227407,0.0073619414427362525,1.1319156869202145,0.9951821347947026,2.919696271419525e-07,0.012778677776939076,78255.35767124833,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,test,test_CS2_37,CS2_37,0.011520529084069591,0.007141069672308532,1.1125216808904956,0.9962468968197687,2.919696271419525e-07,0.012778677776939076,78255.35767124833,0.0,0.0
CALCE,LSTM,LSTM,False,validation,test_CS2_37,CS2_37,0.01413696550661999,0.008009624358495549,1.268434268185444,0.9941394929818337,0.7753550000488758,0.016260764534316303,61497.7234243584,28657.0,0.10931777954101562
CALCE,LSTM,LSTM,False,test,test_CS2_37,CS2_37,0.012121628842797777,0.007722819610255395,1.285221287560819,0.9958450326163519,0.7753550000488758,0.016260764534316303,61497.7234243584,28657.0,0.10931777954101562
