dataset,model,model_family,tuned,split,folds,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,EMD-XGBoost,EMD-XGBoost,True,test,4,0.024266971197810124,0.01579832956178355,2.1350823217829014,0.9165779791872867,0.22365537495352328,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,EMD-XGBoost,EMD-XGBoost,True,validation,4,0.02696100608958978,0.017754997105771855,2.4425721204955395,0.8908334702963815,0.22365537495352328,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,GRU,GRU,False,test,4,0.019003997271243512,0.013829664214344402,1.8219608437333066,0.9507185677800476,0.4904582491144538,0.014191694992798095,70535.56403388968,21505.0,0.08203506469726562
NASA,GRU,GRU,False,validation,4,0.019331970780133087,0.013950814571074131,1.8498764344567635,0.946200564625255,0.4904582491144538,0.014191694992798095,70535.56403388968,21505.0,0.08203506469726562
NASA,LSTM,LSTM,False,test,4,0.029296364166018815,0.023647102816600526,3.098100085401423,0.872144388919884,0.565359792439267,0.02063032785147858,48534.57909351746,28657.0,0.10931777954101562
NASA,LSTM,LSTM,False,validation,4,0.030037670741215865,0.02354349187930435,3.0931887344670503,0.8673222538291013,0.565359792439267,0.02063032785147858,48534.57909351746,28657.0,0.10931777954101562
NASA,LightGBM,LightGBM,False,test,4,0.01596706228686873,0.010548424972439116,1.4225142588743849,0.9642679310960705,0.03370279213413596,0.002899028286578712,367658.24700074695,0.0,0.0
NASA,LightGBM,LightGBM,False,validation,4,0.0178496785902363,0.011716095018330834,1.6146073233839764,0.9524997788473311,0.03370279213413596,0.002899028286578712,367658.24700074695,0.0,0.0
NASA,Ours,ARCF-TCN,True,test,4,0.00892352601017966,0.004929417437352198,0.6269662694829825,0.9861542635461238,5.795091750100255,0.19105305493143326,7239.782490914863,58273.0,0.22229385375976562
NASA,Ours,ARCF-TCN,True,validation,4,0.00885536640898481,0.004843305450881402,0.615939695423669,0.9863855990932442,5.795091750100255,0.19105305493143326,7239.782490914863,58273.0,0.22229385375976562
NASA,Transformer,Transformer,False,test,4,0.02309642791699988,0.0171640361614153,2.26603321573104,0.9281419295447074,0.34720270801335573,0.021343540695319276,47101.32481767185,12801.0,0.048831939697265625
NASA,Transformer,Transformer,False,validation,4,0.024331998854735963,0.01783840361172492,2.360430584281492,0.91101562512902,0.34720270801335573,0.021343540695319276,47101.32481767185,12801.0,0.048831939697265625
NASA,Trend_Prior_l1,baseline,False,test,4,0.009345015333087889,0.005685072730676456,0.7252755237736024,0.9851493337368658,3.637420013546944e-05,9.506018815423529e-06,105844547.56284788,0.0,0.0
NASA,Trend_Prior_l1,baseline,False,validation,4,0.009345015333087889,0.005685072730676456,0.7252755237736023,0.9851493337368658,3.637420013546944e-05,9.506018815423529e-06,105844547.56284788,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,test,4,0.011939765972128076,0.007993672473270295,1.023756926718732,0.9756549141916453,1.7087440937757492e-06,0.013015514933512615,76974.755154174,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,validation,4,0.011939765972128076,0.007993672473270295,1.023756926718732,0.9756549141916453,1.7087440937757492e-06,0.013015514933512615,76974.755154174,0.0,0.0
NASA,VMD-TCN,VMD-TCN,True,test,4,0.08401746512949872,0.07222609451844222,9.468319233715787,0.014575366322225669,0.5563884568400681,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-TCN,VMD-TCN,True,validation,4,0.0837843811028254,0.07249756109486123,9.525779817208328,0.025507405336363476,0.5563884568400681,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-XGBoost,VMD-XGBoost,True,test,4,0.016652798188896863,0.011675587027213916,1.55572300712656,0.9609696615350363,0.2510875007137656,0.0008362070046713451,1201738.8407091931,0.0,0.0
NASA,VMD-XGBoost,VMD-XGBoost,True,validation,4,0.01846093896996143,0.012831393679237895,1.7456068616237148,0.949708290962082,0.2510875007137656,0.0008362070046713451,1201738.8407091931,0.0,0.0
NASA,XGBoost,XGBoost,False,test,4,0.01551462545978674,0.01026161799275061,1.379881937971211,0.966573777844996,0.08297987375408411,0.0007630445174247486,1319153.9384472102,0.0,0.0
NASA,XGBoost,XGBoost,False,validation,4,0.01712389106189287,0.011069646294259135,1.5312387756017976,0.9563392908694293,0.08297987375408411,0.0007630445174247486,1319153.9384472102,0.0,0.0
